distance_angstrom,energy_hartree
4.000000000000000222e-01,-9.141497046270821158e-01
4.200000000000000400e-01,-9.518540428630666295e-01
4.400000000000000577e-01,-9.840956576839288150e-01
4.600000000000000755e-01,-1.011649422872042514e+00
4.800000000000000933e-01,-1.035158224791492998e+00
5.000000000000001110e-01,-1.055159794470623913e+00
5.200000000000001288e-01,-1.072107470210788671e+00
5.400000000000001465e-01,-1.086386372869861283e+00
5.600000000000001643e-01,-1.098326071555401295e+00
5.800000000000001821e-01,-1.108210539731096844e+00
6.000000000000001998e-01,-1.116286006869538161e+00
6.200000000000002176e-01,-1.122767170817906557e+00
6.400000000000002354e-01,-1.127842132963743360e+00
6.600000000000002531e-01,-1.131676340410250559e+00
6.800000000000002709e-01,-1.134415759086274456e+00
7.000000000000002887e-01,-1.136189454065925197e+00
7.200000000000003064e-01,-1.137111715115464161e+00
7.400000000000003242e-01,-1.137283834488501455e+00
7.600000000000003419e-01,-1.136795618820453768e+00
7.800000000000003597e-01,-1.135726696630226851e+00
8.000000000000003775e-01,-1.134147666677092658e+00
8.200000000000003952e-01,-1.132121119649999397e+00
8.400000000000004130e-01,-1.129702555870423897e+00
8.600000000000004308e-01,-1.126941214412042758e+00
8.800000000000004485e-01,-1.123880823844148225e+00
9.000000000000004663e-01,-1.120560281299991523e+00
9.200000000000004841e-01,-1.117014264387572453e+00
9.400000000000005018e-01,-1.113273779272857755e+00
9.600000000000005196e-01,-1.109366647788099680e+00
9.800000000000005373e-01,-1.105317936411424729e+00
1.000000000000000444e+00,-1.101150330232614660e+00
1.020000000000000462e+00,-1.096884455411649695e+00
1.040000000000000480e+00,-1.092539154040192084e+00
1.060000000000000497e+00,-1.088131715659850673e+00
1.080000000000000515e+00,-1.083678069920649856e+00
1.100000000000000533e+00,-1.079192944969074697e+00
1.120000000000000551e+00,-1.074689996124572167e+00
1.140000000000000568e+00,-1.070181909253473229e+00
1.160000000000000586e+00,-1.065680482996241407e+00
1.180000000000000604e+00,-1.061196693672814328e+00
1.200000000000000622e+00,-1.056740746305258938e+00
1.220000000000000639e+00,-1.052322114782673568e+00
1.240000000000000657e+00,-1.047949573770769138e+00
1.260000000000000675e+00,-1.043631224556041293e+00
1.280000000000000693e+00,-1.039374516626248690e+00
1.300000000000000711e+00,-1.035186266434253710e+00
1.320000000000000728e+00,-1.031072674478684004e+00
1.340000000000000746e+00,-1.027039341563174890e+00
1.360000000000000764e+00,-1.023091284868070883e+00
1.380000000000000782e+00,-1.019232954281585446e+00
1.400000000000000799e+00,-1.015468249288243641e+00
1.420000000000000817e+00,-1.011800536595871325e+00
1.440000000000000835e+00,-1.008232668594869264e+00
1.460000000000000853e+00,-1.004767002678701893e+00
1.480000000000000870e+00,-1.001405421408331442e+00
1.500000000000000888e+00,-9.981493534714096505e-01
1.520000000000000906e+00,-9.949997953655105309e-01
1.540000000000000924e+00,-9.919573337202126639e-01
1.560000000000000941e+00,-9.890221681641084839e-01
1.580000000000000959e+00,-9.861941346356096760e-01
1.600000000000000977e+00,-9.834727290331761740e-01
1.620000000000000995e+00,-9.808571310959641742e-01
1.640000000000001013e+00,-9.783462284040653767e-01
1.660000000000001030e+00,-9.759386403844558799e-01
1.680000000000001048e+00,-9.736327422075994331e-01
1.700000000000001066e+00,-9.714266884583445671e-01
1.720000000000001084e+00,-9.693184364651974416e-01
1.740000000000001101e+00,-9.673057691733082386e-01
1.760000000000001119e+00,-9.653863174497028243e-01
1.780000000000001137e+00,-9.635575817137675969e-01
1.800000000000001155e+00,-9.618169527925798379e-01
1.820000000000001172e+00,-9.601617319085136160e-01
1.840000000000001190e+00,-9.585891497162968289e-01
1.860000000000001208e+00,-9.570963843173460051e-01
1.880000000000001226e+00,-9.556805781915440612e-01
1.900000000000001243e+00,-9.543388539987305297e-01
1.920000000000001261e+00,-9.530683292155415209e-01
1.940000000000001279e+00,-9.518661295867366645e-01
1.960000000000001297e+00,-9.507294013821063761e-01
1.980000000000001315e+00,-9.496553224633020873e-01
2.000000000000001332e+00,-9.486411121761904042e-01
