distance_angstrom,vqe_energy_ha,exact_energy_ha,delta_ha
4.000000000000000222e-01,-9.141496719603043886e-01,-9.141497046270821158e-01,3.266677772728598939e-08
4.200000000000000400e-01,-9.518540415971641355e-01,-9.518540428630666295e-01,1.265902493940984641e-09
4.400000000000000577e-01,-9.840956211961044975e-01,-9.840956576839288150e-01,3.648782431753261335e-08
4.600000000000000755e-01,-1.011649398557154189e+00,-1.011649422872042514e+00,2.431488832499439923e-08
4.800000000000000933e-01,-1.035158223440256098e+00,-1.035158224791492998e+00,1.351236900148933273e-09
5.000000000000001110e-01,-1.055159719073466951e+00,-1.055159794470623913e+00,7.539715696225357533e-08
5.200000000000001288e-01,-1.072107463131519944e+00,-1.072107470210788671e+00,7.079268726783993770e-09
5.400000000000001465e-01,-1.086386336252848750e+00,-1.086386372869861283e+00,3.661701253321325567e-08
5.600000000000001643e-01,-1.098325949622408704e+00,-1.098326071555401295e+00,1.219329925916667889e-07
5.800000000000001821e-01,-1.108210518747500206e+00,-1.108210539731096844e+00,2.098359663804671982e-08
6.000000000000001998e-01,-1.116285997053505730e+00,-1.116286006869538161e+00,9.816032431331223052e-09
6.200000000000002176e-01,-1.122767146409106465e+00,-1.122767170817906557e+00,2.440880009224599689e-08
6.400000000000002354e-01,-1.127841767597166367e+00,-1.127842132963743360e+00,3.653665769931535579e-07
6.600000000000002531e-01,-1.131676323079693791e+00,-1.131676340410250559e+00,1.733055676744754692e-08
6.800000000000002709e-01,-1.134415698272823736e+00,-1.134415759086274456e+00,6.081345071962118709e-08
7.000000000000002887e-01,-1.136188856192295926e+00,-1.136189454065925197e+00,5.978736292711062106e-07
7.200000000000003064e-01,-1.137111281558497389e+00,-1.137111715115464161e+00,4.335569667723859766e-07
7.400000000000003242e-01,-1.137283795955202237e+00,-1.137283834488501455e+00,3.853329921810200176e-08
7.600000000000003419e-01,-1.136795608573464289e+00,-1.136795618820453768e+00,1.024698947915680947e-08
7.800000000000003597e-01,-1.135726687334311702e+00,-1.135726696630226851e+00,9.295915148754829715e-09
8.000000000000003775e-01,-1.134147329909739543e+00,-1.134147666677092658e+00,3.367673531151638144e-07
8.200000000000003952e-01,-1.132121118523816472e+00,-1.132121119649999397e+00,1.126182924693353016e-09
8.400000000000004130e-01,-1.129702555279112008e+00,-1.129702555870423897e+00,5.913118883427159744e-10
8.600000000000004308e-01,-1.126941038455121724e+00,-1.126941214412042758e+00,1.759569210335598655e-07
8.800000000000004485e-01,-1.123880518871657408e+00,-1.123880823844148225e+00,3.049724908166240311e-07
9.000000000000004663e-01,-1.120560281173005324e+00,-1.120560281299991523e+00,1.269861993336007799e-10
9.200000000000004841e-01,-1.117014206170597657e+00,-1.117014264387572453e+00,5.821697479646559259e-08
9.400000000000005018e-01,-1.113273465499898807e+00,-1.113273779272857755e+00,3.137729589486326631e-07
9.600000000000005196e-01,-1.109366637349950668e+00,-1.109366647788099680e+00,1.043814901180439847e-08
9.800000000000005373e-01,-1.105317934397378465e+00,-1.105317936411424729e+00,2.014046263099089629e-09
1.000000000000000444e+00,-1.101150321507049501e+00,-1.101150330232614660e+00,8.725565159295456397e-09
1.020000000000000462e+00,-1.096884054327847524e+00,-1.096884455411649695e+00,4.010838021706319978e-07
1.040000000000000480e+00,-1.092539119236807021e+00,-1.092539154040192084e+00,3.480338506278712885e-08
1.060000000000000497e+00,-1.088131607622072616e+00,-1.088131715659850673e+00,1.080377780571240010e-07
1.080000000000000515e+00,-1.083678016523103249e+00,-1.083678069920649856e+00,5.339754660660389618e-08
1.100000000000000533e+00,-1.079192879279841533e+00,-1.079192944969074697e+00,6.568923316407904167e-08
1.120000000000000551e+00,-1.074689840498457949e+00,-1.074689996124572167e+00,1.556261142177106649e-07
1.140000000000000568e+00,-1.070181906626341828e+00,-1.070181909253473229e+00,2.627131401311544323e-09
1.160000000000000586e+00,-1.065680448445827988e+00,-1.065680482996241407e+00,3.455041341915432440e-08
1.180000000000000604e+00,-1.061196396287533705e+00,-1.061196693672814328e+00,2.973852806231747081e-07
1.200000000000000622e+00,-1.056740729462657846e+00,-1.056740746305258938e+00,1.684260109158230989e-08
1.220000000000000639e+00,-1.052321740806317685e+00,-1.052322114782673568e+00,3.739763558829878320e-07
1.240000000000000657e+00,-1.047949449630109164e+00,-1.047949573770769138e+00,1.241406599739036665e-07
1.260000000000000675e+00,-1.043631141897169101e+00,-1.043631224556041293e+00,8.265887219138789987e-08
1.280000000000000693e+00,-1.039374506217576322e+00,-1.039374516626248690e+00,1.040867236845599564e-08
1.300000000000000711e+00,-1.035186206847713120e+00,-1.035186266434253710e+00,5.958654059057266750e-08
1.320000000000000728e+00,-1.031072629251890582e+00,-1.031072674478684004e+00,4.522679342144897419e-08
1.340000000000000746e+00,-1.027038915483079684e+00,-1.027039341563174890e+00,4.260800952060606051e-07
1.360000000000000764e+00,-1.023091282751223963e+00,-1.023091284868070883e+00,2.116846919975046148e-09
1.380000000000000782e+00,-1.019232496121616816e+00,-1.019232954281585446e+00,4.581599686304116403e-07
